"Cod_Estabelecimento","Estabelecimento","Cod_UO","UO","NUTS1","NUTS2","NUTS3","Distrito","Conselho","Subsistema_ensino","Tipo_ensino","Cod_curso","Curso","Nivel_forma","Cnaef_cod_grande_grupo","Cnaef_grande_grupo","Cnaef_cod_area_estudo","Cnaef_area_estudo","Cnaef_cod_area_edu_forma","Cnaef_area_edu_forma","Total","Sexo_h","Sexo_m","Estrangeiro","Portugues"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","5753","Ciências Agrárias","Doutoramento","600","Agricultura","620","Agricultura, Silvicultura e Pescas","621","Produção Agrícola e Animal","5","2","3","1","4"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","9022","Ciências Agrárias","Licenciatura","600","Agricultura","620","Agricultura, Silvicultura e Pescas","621","Produção Agrícola e Animal","9","4","5","0","9"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","9103","Engenharia e Gestão do Ambiente","Licenciatura","800","Serviços","850","Protecção do Ambiente","851","Tecnologia de Protecção do Ambiente","6","2","4","0","6"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","9287","Engenharia Zootécnica","Mestrado","600","Agricultura","620","Agricultura, Silvicultura e Pescas","621","Produção Agrícola e Animal","1","0","1","0","1"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","9301","Gestão e Conservação da Natureza","Mestrado","800","Serviços","850","Protecção do Ambiente","852","Ambientes Naturais e Vida Selvagem","8","4","4","2","6"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","9382","Guias da Natureza","Licenciatura","800","Serviços","850","Protecção do Ambiente","852","Ambientes Naturais e Vida Selvagem","10","6","4","0","10"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","9417","Engenharia do Ambiente","Mestrado","800","Serviços","850","Protecção do Ambiente","851","Tecnologia de Protecção do Ambiente","5","1","4","0","5"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","9445","Tecnologia e Segurança Alimentar","Mestrado","500","Engenharia, Indústrias Transformadoras e Construção","540","Indústrias Transformadoras","541","Indústrias Alimentares","1","0","1","0","1"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","9520","Engenharia Agronómica","Mestrado","600","Agricultura","620","Agricultura, Silvicultura e Pescas","621","Produção Agrícola e Animal","4","0","4","0","4"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","9934","Energias Renováveis","Licenciatura","500","Engenharia, Indústrias Transformadoras e Construção","520","Engenharia e Técnicas Afins","522","Electricidade e Energia","14","8","6","0","14"
